Smed_Code	Gene stable ID	Gene description	Transcript stable ID	Protein stable ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
SmedASXL_013188	ENSG00000120029	chromosome 10 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:25788]	ENST00000370033	ENSP00000359050	C10orf76	C10orf76	Q5T2E6
SmedASXL_019371	ENSG00000068796	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	ENST00000401507	ENSP00000385622	KIF2A	KIF2A	O00139
SmedASXL_004088	ENSG00000086061	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	ENST00000330899	ENSP00000369127	DNAJA1	DNAJA1	P31689
SmedASXL_006835	ENSG00000105325	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	ENST00000441788	ENSP00000410369	FZR1	FZR1	Q9UM11
SmedASXL_009601	ENSG00000172340	succinate-CoA ligase GDP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11450]	ENST00000493112	ENSP00000419325	SUCLG2	SUCLG2	Q96I99
SmedASXL_016367	ENSG00000144504	ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]	ENST00000373318	ENSP00000362415	ANKMY1	ANKMY1	
SmedASXL_008308	ENSG00000118514	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	ENST00000265605	ENSP00000265605	ALDH8A1	ALDH8A1	Q9H2A2
SmedASXL_006710	ENSG00000197170	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]	ENST00000356126	ENSP00000348442	PSMD12	PSMD12	O00232
SmedASXL_015620	ENSG00000170448	nuclear transcription factor, X-box binding like 1 [Source:HGNC Symbol;Acc:HGNC:18726]	ENST00000381538	ENSP00000370949	NFXL1	NFXL1	Q6ZNB6
SmedASXL_005737	ENSG00000163541	succinate-CoA ligase alpha subunit [Source:HGNC Symbol;Acc:HGNC:11449]	ENST00000393868	ENSP00000377446	SUCLG1	SUCLG1	P53597
SmedASXL_014388	ENSG00000012232	exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]	ENST00000523149	ENSP00000428691	EXTL3	EXTL3	
SmedASXL_011824	ENSG00000100201	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	ENST00000396821	ENSP00000380033	DDX17	DDX17	
SmedASXL_016875	ENSG00000100201	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	ENST00000396821	ENSP00000380033	DDX17	DDX17	
SmedASXL_009993	ENSG00000171848	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	ENST00000641198	ENSP00000493399	RRM2	RRM2	
SmedASXL_010984	ENSG00000099956	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]	ENST00000417137	ENSP00000388489	SMARCB1	SMARCB1	
SmedASXL_006569	ENSG00000165140	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	ENST00000375326	ENSP00000364475	FBP1	FBP1	P09467
SmedASXL_008351	ENSG00000178952	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	ENST00000313511	ENSP00000322439	TUFM	TUFM	P49411
SmedASXL_015629	ENSG00000135776	ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]	ENST00000344517	ENSP00000355637	ABCB10	ABCB10	Q9NRK6
SmedASXL_017971	ENSG00000138375	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]	ENST00000430374	ENSP00000405077	SMARCAL1	SMARCAL1	
SmedASXL_005709	ENSG00000069966	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	ENST00000261837	ENSP00000261837	GNB5	GNB5	O14775
SmedASXL_011419	ENSG00000183044	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	ENST00000268251	ENSP00000268251	ABAT	ABAT	P80404
SmedASXL_012143	ENSG00000141965	fem-1 homolog A [Source:HGNC Symbol;Acc:HGNC:16934]	ENST00000269856	ENSP00000269856	FEM1A	FEM1A	Q9BSK4
SmedASXL_009096	ENSG00000171962	dynein regulatory complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25384]	ENST00000582416	ENSP00000464676	DRC3	DRC3	
SmedASXL_014721	ENSG00000112893	mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824]	ENST00000261483	ENSP00000261483	MAN2A1	MAN2A1	Q16706
SmedASXL_013244	ENSG00000087299	L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499]	ENST00000261699	ENSP00000261699	L2HGDH	L2HGDH	
SmedASXL_013887	ENSG00000143669	lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]	ENST00000389793	ENSP00000374443	LYST	LYST	Q99698
SmedASXL_001910	ENSG00000120756	plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090]	ENST00000457734	ENSP00000387890	PLS1	PLS1	Q14651
SmedASXL_010847	ENSG00000162298	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]	ENST00000294256	ENSP00000294256	SYVN1	SYVN1	Q86TM6
SmedASXL_009060	ENSG00000131626	PTPRF interacting protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:9245]	ENST00000253925	ENSP00000253925	PPFIA1	PPFIA1	Q13136
SmedASXL_014439	ENSG00000149485	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	ENST00000350997	ENSP00000322229	FADS1	FADS1	
SmedASXL_007356	ENSG00000168291	pyruvate dehydrogenase E1 beta subunit [Source:HGNC Symbol;Acc:HGNC:8808]	ENST00000302746	ENSP00000307241	PDHB	PDHB	P11177
SmedASXL_014008	ENSG00000004139	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	ENST00000585482	ENSP00000468032	SARM1	SARM1	Q6SZW1
SmedASXL_015873	ENSG00000186111	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	ENST00000335312	ENSP00000335333	PIP5K1C	PIP5K1C	O60331
SmedASXL_003809	ENSG00000211456	SAC1 like phosphatidylinositide phosphatase [Source:HGNC Symbol;Acc:HGNC:17059]	ENST00000455997	ENSP00000389975	SACM1L	SACM1L	
SmedASXL_014532	ENSG00000165195	phosphatidylinositol glycan anchor biosynthesis class A [Source:HGNC Symbol;Acc:HGNC:8957]	ENST00000333590	ENSP00000369820	PIGA	PIGA	P37287
SmedASXL_014697	ENSG00000073712	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	ENST00000395631	ENSP00000378993	FERMT2	FERMT2	Q96AC1
SmedASXL_013934	ENSG00000070718	adaptor related protein complex 3 mu 2 subunit [Source:HGNC Symbol;Acc:HGNC:570]	ENST00000518421	ENSP00000428787	AP3M2	AP3M2	P53677
SmedASXL_009159	ENSG00000100077	G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]	ENST00000324198	ENSP00000317578	GRK3	GRK3	P35626
SmedASXL_009583	ENSG00000155876	Ras related GTP binding A [Source:HGNC Symbol;Acc:HGNC:16963]	ENST00000380527	ENSP00000369899	RRAGA	RRAGA	Q7L523
SmedASXL_011102	ENSG00000100258	lipase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:25096]	ENST00000474879	ENSP00000424381	LMF2	LMF2	Q9BU23
SmedASXL_010289	ENSG00000100982	PDX1 C-terminal inhibiting factor 1 [Source:HGNC Symbol;Acc:HGNC:16200]	ENST00000372409	ENSP00000361486	PCIF1	PCIF1	Q9H4Z3
SmedASXL_010607	ENSG00000167004	protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]	ENST00000300289	ENSP00000300289	PDIA3	PDIA3	P30101
SmedASXL_014914	ENSG00000074582	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	ENST00000428880	ENSP00000391007	BCS1L	BCS1L	
SmedASXL_004694	ENSG00000172932	ankyrin repeat domain 13D [Source:HGNC Symbol;Acc:HGNC:27880]	ENST00000447274	ENSP00000402616	ANKRD13D	ANKRD13D	Q6ZTN6
SmedASXL_016251	ENSG00000137941	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	ENST00000480174	ENSP00000435334	TTLL7	TTLL7	Q6ZT98
SmedASXL_005252	ENSG00000139537	coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937]	ENST00000266984	ENSP00000266984	CCDC65	CCDC65	Q8IXS2
SmedASXL_014594	ENSG00000013573	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	ENST00000542838	ENSP00000443426	DDX11	DDX11	Q96FC9
SmedASXL_016519	ENSG00000130396	afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]	ENST00000400825	ENSP00000383626	AFDN	AFDN	
SmedASXL_008807	ENSG00000185532	protein kinase, cGMP-dependent, type I [Source:HGNC Symbol;Acc:HGNC:9414]	ENST00000373985	ENSP00000363097	PRKG1	PRKG1	Q13976
SmedASXL_014727	ENSG00000004766	VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]	ENST00000251739	ENSP00000251739	VPS50	VPS50	Q96JG6
SmedASXL_015403	ENSG00000007384	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	ENST00000262316	ENSP00000262316	RHBDF1	RHBDF1	Q96CC6
SmedASXL_008760	ENSG00000104408	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]	ENST00000522352	ENSP00000428170	EIF3E	EIF3E	
SmedASXL_010087	ENSG00000164187	LMBR1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25287]	ENST00000296603	ENSP00000296603	LMBRD2	LMBRD2	Q68DH5
SmedASXL_006571	ENSG00000137312	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	ENST00000376389	ENSP00000365569	FLOT1	FLOT1	O75955
SmedASXL_017241	ENSG00000129159	potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]	ENST00000379472	ENSP00000368785	KCNC1	KCNC1	P48547
SmedASXL_014213	ENSG00000008128	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]	ENST00000356200	ENSP00000348529	CDK11A	CDK11A	
SmedASXL_019486	ENSG00000169251	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	ENST00000468606	ENSP00000418852	NMD3	NMD3	
SmedASXL_009935	ENSG00000163624	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	ENST00000295887	ENSP00000295887	CDS1	CDS1	Q92903
SmedASXL_009450	ENSG00000198814	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	ENST00000378946	ENSP00000368229	GK	GK	P32189
SmedASXL_000676	ENSG00000143437	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	ENST00000358595	ENSP00000351407	ARNT	ARNT	P27540
SmedASXL_005491	ENSG00000147813	nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]	ENST00000460623	ENSP00000478911	NAPRT	NAPRT	
SmedASXL_017139	ENSG00000138346	DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:HGNC:2939]	ENST00000551118	ENSP00000450393	DNA2	DNA2	
SmedASXL_010876	ENSG00000160695	VPS11, CORVET/HOPS core subunit [Source:HGNC Symbol;Acc:HGNC:14583]	ENST00000621676	ENSP00000481126	VPS11	VPS11	
SmedASXL_014627	ENSG00000151914	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	ENST00000244364	ENSP00000244364	DST	DST	Q03001
SmedASXL_017141	ENSG00000082805	ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]	ENST00000545318	ENSP00000465628	ERC1	ERC1	
SmedASXL_009432	ENSG00000144645	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	ENST00000396556	ENSP00000379804	OSBPL10	OSBPL10	Q9BXB5
SmedASXL_014854	ENSG00000089091	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]	ENST00000476058	ENSP00000479439	DZANK1	DZANK1	
SmedASXL_007538	ENSG00000125991	ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]	ENST00000348547	ENSP00000341358	ERGIC3	ERGIC3	Q9Y282
SmedASXL_009442	ENSG00000139505	myotubularin related protein 6 [Source:HGNC Symbol;Acc:HGNC:7453]	ENST00000381801	ENSP00000371221	MTMR6	MTMR6	Q9Y217
SmedASXL_012466	ENSG00000147475	ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]	ENST00000397228	ENSP00000380405	ERLIN2	ERLIN2	O94905
SmedASXL_009462	ENSG00000128050	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	ENST00000514888	ENSP00000424907	PAICS	PAICS	
SmedASXL_017149	ENSG00000110237	Rho guanine nucleotide exchange factor 17 [Source:HGNC Symbol;Acc:HGNC:21726]	ENST00000263674	ENSP00000263674	ARHGEF17	ARHGEF17	Q96PE2
SmedASXL_007021	ENSG00000149925	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	ENST00000338110	ENSP00000336927	ALDOA	ALDOA	P04075
SmedASXL_011573	ENSG00000109618	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:HGNC:30605]	ENST00000382103	ENSP00000371535	SEPSECS	SEPSECS	Q9HD40
SmedASXL_017862	ENSG00000152223	ectopic P-granules autophagy protein 5 homolog [Source:HGNC Symbol;Acc:HGNC:29331]	ENST00000590854	ENSP00000467066	EPG5	EPG5	
SmedASXL_008301	ENSG00000087053	myotubularin related protein 2 [Source:HGNC Symbol;Acc:HGNC:7450]	ENST00000346299	ENSP00000345752	MTMR2	MTMR2	Q13614
SmedASXL_005693	ENSG00000129515	sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]	ENST00000396526	ENSP00000379779	SNX6	SNX6	Q9UNH7
SmedASXL_015098	ENSG00000103512	NODAL modulator 1 [Source:HGNC Symbol;Acc:HGNC:30060]	ENST00000287667	ENSP00000287667	NOMO1	NOMO1	Q15155
SmedASXL_001912	ENSG00000117308	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	ENST00000374497	ENSP00000363621	GALE	GALE	Q14376
SmedASXL_010798	ENSG00000198231	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]	ENST00000581135	ENSP00000464232	DDX42	DDX42	
SmedASXL_016718	ENSG00000109685	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	ENST00000508803	ENSP00000423972	NSD2	NSD2	O96028
SmedASXL_015534	ENSG00000159640	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	ENST00000582678	ENSP00000462995	ACE	ACE	
SmedASXL_012779	ENSG00000137216	transmembrane protein 63B [Source:HGNC Symbol;Acc:HGNC:17735]	ENST00000259746	ENSP00000259746	TMEM63B	TMEM63B	Q5T3F8
SmedASXL_015148	ENSG00000155850	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	ENST00000286298	ENSP00000286298	SLC26A2	SLC26A2	P50443
SmedASXL_004430	ENSG00000095059	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	ENST00000598246	ENSP00000471466	DHPS	DHPS	
SmedASXL_012693	ENSG00000164885	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	ENST00000485972	ENSP00000419782	CDK5	CDK5	Q00535
SmedASXL_017576	ENSG00000185722	ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]	ENST00000341657	ENSP00000343362	ANKFY1	ANKFY1	Q9P2R3
SmedASXL_006824	ENSG00000156471	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]	ENST00000517309	ENSP00000430548	PTDSS1	PTDSS1	P48651
SmedASXL_015989	ENSG00000185052	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	ENST00000328041	ENSP00000333519	SLC24A3	SLC24A3	Q9HC58
SmedASXL_003604	ENSG00000100033	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	ENST00000420436	ENSP00000410805	PRODH	PRODH	
SmedASXL_014713	SmedASXL_012427	ENSP00000295240	ENSG00000163093	ENST00000295240	Bardet-Biedl syndrome 5 [Source:HGNC Symbol;Acc:HGNC:970]	BBS5	BBS5
SmedASXL_018938	ENSG00000130741	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	ENST00000253039	ENSP00000253039	EIF2S3	EIF2S3	P41091
SmedASXL_017012	ENSG00000124181	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	ENST00000244007	ENSP00000244007	PLCG1	PLCG1	P19174
SmedASXL_015273	ENSG00000100024	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	ENST00000415388	ENSP00000400684	UPB1	UPB1	
SmedASXL_018958	ENSG00000185000	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	ENST00000528718	ENSP00000482264	DGAT1	DGAT1	O75907
SmedASXL_009865	ENSG00000164024	methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]	ENST00000296411	ENSP00000296411	METAP1	METAP1	P53582
SmedASXL_015657	ENSG00000160200	cystathionine-beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	ENST00000398158	ENSP00000381225	CBS	CBS	P35520
SmedASXL_013965	ENSG00000133119	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	ENST00000380071	ENSP00000369411	RFC3	RFC3	P40938
SmedASXL_006913	ENSG00000115652	UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729]	ENST00000283148	ENSP00000283148	UXS1	UXS1	Q8NBZ7
SmedASXL_011597	ENSG00000058404	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	ENST00000350811	ENSP00000326375	CAMK2B	CAMK2B	Q13554
SmedASXL_012167	ENSG00000085491	solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]	ENST00000565488	ENSP00000457733	SLC25A24	SLC25A24	Q6NUK1
SmedASXL_005139	ENSG00000151292	casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]	ENST00000511130	ENSP00000421385	CSNK1G3	CSNK1G3	Q9Y6M4
SmedASXL_002408	ENSG00000138190	exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]	ENST00000371543	ENSP00000360598	EXOC6	EXOC6	
SmedASXL_018004	ENSG00000153317	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]	ENST00000524124	ENSP00000429391	ASAP1	ASAP1	
SmedASXL_007904	ENSG00000198792	transmembrane protein 184B [Source:HGNC Symbol;Acc:HGNC:1310]	ENST00000361906	ENSP00000355210	TMEM184B	TMEM184B	Q9Y519
SmedASXL_006497	ENSG00000105819	peptidase, mitochondrial processing beta subunit [Source:HGNC Symbol;Acc:HGNC:9119]	ENST00000249269	ENSP00000249269	PMPCB	PMPCB	O75439
SmedASXL_012305	ENSG00000116729	wntless Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	ENST00000354777	ENSP00000346829	WLS	WLS	Q5T9L3
SmedASXL_008071	ENSG00000149201	coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:HGNC:26281]	ENST00000354755	ENSP00000346800	CCDC81	CCDC81	Q6ZN84
SmedASXL_005752	ENSG00000119414	protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]	ENST00000373547	ENSP00000362648	PPP6C	PPP6C	O00743
SmedASXL_019261	ENSG00000121897	lipoic acid synthetase [Source:HGNC Symbol;Acc:HGNC:16429]	ENST00000640888	ENSP00000492260	LIAS	LIAS	O43766
SmedASXL_008747	ENSG00000167216	katanin catalytic subunit A1 like 2 [Source:HGNC Symbol;Acc:HGNC:25387]	ENST00000592005	ENSP00000467610	KATNAL2	KATNAL2	
SmedASXL_016077	ENSG00000108582	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	ENST00000225719	ENSP00000225719	CPD	CPD	O75976
SmedASXL_018857	ENSG00000120053	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	ENST00000370508	ENSP00000359539	GOT1	GOT1	P17174
SmedASXL_014016	ENSG00000077264	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	ENST00000372010	ENSP00000361080	PAK3	PAK3	O75914
SmedASXL_008342	ENSG00000067715	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	ENST00000393240	ENSP00000376932	SYT1	SYT1	P21579
SmedASXL_013436	ENSG00000108469	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	ENST00000423245	ENSP00000394820	RECQL5	RECQL5	O94762
SmedASXL_014848	ENSG00000071189	sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]	ENST00000428135	ENSP00000398789	SNX13	SNX13	Q9Y5W8
SmedASXL_008711	ENSG00000183760	acid phosphatase 7, tartrate resistant (putative) [Source:HGNC Symbol;Acc:HGNC:33781]	ENST00000601575	ENSP00000469048	ACP7	ACP7	
SmedASXL_014596	ENSG00000019995	zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]	ENST00000359653	ENSP00000352676	ZRANB1	ZRANB1	Q9UGI0
SmedASXL_006348	ENSG00000103510	lysine acetyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:17933]	ENST00000543774	ENSP00000456933	KAT8	KAT8	Q9H7Z6
SmedASXL_011544	ENSG00000049656	CLPTM1 like [Source:HGNC Symbol;Acc:HGNC:24308]	ENST00000320895	ENSP00000313854	CLPTM1L	CLPTM1L	Q96KA5
SmedASXL_012472	ENSG00000108061	SHOC2, leucine rich repeat scaffold protein [Source:HGNC Symbol;Acc:HGNC:15454]	ENST00000369452	ENSP00000358464	SHOC2	SHOC2	Q9UQ13
SmedASXL_004555	ENSG00000163281	glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526]	ENST00000608855	ENSP00000477137	GNPDA2	GNPDA2	
SmedASXL_016940	ENSG00000105186	ankyrin repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25310]	ENST00000306065	ENSP00000304292	ANKRD27	ANKRD27	Q96NW4
SmedASXL_010445	ENSG00000139344	amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577]	ENST00000266736	ENSP00000266736	AMDHD1	AMDHD1	Q96NU7
SmedASXL_014366	ENSG00000109323	mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831]	ENST00000226578	ENSP00000226578	MANBA	MANBA	O00462
SmedASXL_008488	ENSG00000134243	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	ENST00000256637	ENSP00000256637	SORT1	SORT1	Q99523
SmedASXL_015444	ENSG00000108840	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	ENST00000225983	ENSP00000225983	HDAC5	HDAC5	Q9UQL6
SmedASXL_006678	ENSG00000154229	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	ENST00000578063	ENSP00000462087	PRKCA	PRKCA	
SmedASXL_017690	ENSG00000070061	elongator complex protein 1 [Source:HGNC Symbol;Acc:HGNC:5959]	ENST00000495759	ENSP00000433514	ELP1	ELP1	
SmedASXL_012641	ENSG00000142609	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]	ENST00000493964	ENSP00000417061	CFAP74	CFAP74	Q9C0B2
SmedASXL_010987	ENSG00000101146	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	ENST00000395841	ENSP00000379182	RAE1	RAE1	P78406
SmedASXL_007125	ENSG00000108963	diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:HGNC:3003]	ENST00000263083	ENSP00000263083	DPH1	DPH1	Q9BZG8
SmedASXL_013480	ENSG00000140463	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	ENST00000566400	ENSP00000456759	BBS4	BBS4	
SmedASXL_012776	ENSG00000151694	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	ENST00000310823	ENSP00000309968	ADAM17	ADAM17	P78536
SmedASXL_001069	ENSG00000225697	solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472]	ENST00000420764	ENSP00000404684	SLC26A6	SLC26A6	Q9BXS9
SmedASXL_007454	ENSG00000142687	KIAA0319 like [Source:HGNC Symbol;Acc:HGNC:30071]	ENST00000325722	ENSP00000318406	KIAA0319L	KIAA0319L	Q8IZA0
SmedASXL_003515	ENSG00000136518	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	ENST00000429709	ENSP00000397552	ACTL6A	ACTL6A	O96019
SmedASXL_017297	ENSG00000153107	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	ENST00000427997	ENSP00000396695	ANAPC1	ANAPC1	
SmedASXL_016975	ENSG00000179915	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	ENST00000625672	ENSP00000485887	NRXN1	NRXN1	Q9ULB1
SmedASXL_014378	ENSG00000176444	CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]	ENST00000361168	ENSP00000354856	CLK2	CLK2	P49760
SmedASXL_013536	ENSG00000111897	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	ENST00000339697	ENSP00000342962	SERINC1	SERINC1	Q9NRX5
SmedASXL_008540	ENSG00000143753	delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]	ENST00000415210	ENSP00000400545	DEGS1	DEGS1	
SmedASXL_012748	ENSG00000116141	microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]	ENST00000366918	ENSP00000355885	MARK1	MARK1	Q9P0L2
SmedASXL_010017	ENSG00000125409	tektin 3 [Source:HGNC Symbol;Acc:HGNC:14293]	ENST00000395930	ENSP00000379263	TEKT3	TEKT3	Q9BXF9
SmedASXL_008367	ENSG00000132478	unkempt family zinc finger [Source:HGNC Symbol;Acc:HGNC:29369]	ENST00000589666	ENSP00000464893	UNK	UNK	Q9C0B0
SmedASXL_019407	ENSG00000115919	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	ENST00000264170	ENSP00000264170	KYNU	KYNU	Q16719
SmedASXL_012095	ENSG00000211455	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	ENST00000541191	ENSP00000437856	STK38L	STK38L	
SmedASXL_015748	ENSG00000036054	TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]	ENST00000485687	ENSP00000417487	TBC1D23	TBC1D23	
